,ID,Cugdc,RunfileC,pcC,CN_Crun,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15Nav,normd15N28thoct,normd15N,,d15Nsd,Species,time,rep,temp,CharrNo,Freshwt,Charwt,char,pcwtloss,newCN
41,C4EM215-24B,434.6389395,131016,62.99115065,,-25.38183383,0.046819029,89.10355812,130903,3.000119802,1.280905027,1.28,1.28,0,0.193700732,EM,24,B,215,3,2.42423,1.37076,charred,43.45586021,24.49558038
69,C4PEA215-24C,388.7780035,131016,59.81200054,,-27.81557415,0.049888245,81.22890878,130910,5.076806799,1.319832676,1.32,1.32,0,0.211570485,PE,24,C,215,3,5.46016,3.03592,charred,44.39869894,13.7449917
32,C4EIN215-24B,438.1313201,131022,67.40481848,,-27.20189194,0.05054889,98.1074232,130903,3.27024744,1.383052791,1.38,1.38,0,0.193388516,EI,24,B,215,3,1.7714,1.01271,charred,42.829965,24.04679044
31,C4EIN215-24A,423.0172602,131022,60.43103717,,-27.0693225,0.050325493,99.1922465,130910,3.262902845,1.445447858,1.45,1.45,0,0.211181321,EI,24,A,215,3,1.7714,1.01271,charred,42.829965,21.60740912
24,C4BW215-24C,380.9324176,131026,62.44793731,,-27.18561568,0.078096715,69.51060325,130927,2.348331191,1.872385383,1.87,1.87,0,0.314160521,BW,24,C,215,3,3.65364,1.9661,charred,46.18791123,31.02455358
42,C4EM215-24C,384.9372667,131016,62.08665592,,-25.41751051,0.046851435,94.98780795,130819,3.025089425,1.962077516,1.96,1.96,0,0.321298878,EM,24,C,215,3,2.42423,1.37076,charred,43.45586021,23.9445589
22,C4BW215-24A,415.4427953,131021,61.09452872,,-27.33004235,0.05310143,64.63481879,130930,2.15449396,2.240941231,2.24,2.24,0,0.319954189,BW,24,A,215,3,3.65364,1.9661,charred,46.18791123,33.08291947
23,C4BW215-24B,408.6310783,131021,61.91379974,,-27.12387037,0.052741418,66.91369564,130930,2.389774844,2.838512937,2.84,2.84,0,0.31522032,BW,24,B,215,3,3.65364,1.9661,charred,46.18791123,30.22576229
60,C4NB215-24C,419.7504485,131026,59.96434979,,-27.93957414,0.080725015,62.98288696,130903,2.135013117,3.98672634,3.99,3.99,0,0.185955138,NB,24,C,215,3,2.32178,1.2505,charred,46.1404612,32.76720294
92,RYE21524C,430.354611,185716.5,64.28368166,45.82914798,-26.06087947,0.072376483,67.18476574,NA,1.845735323,4.175881505,4.18,4.18,0,0.269210648,rye,24,C,215,3,1260.24,764.62,charred,39.3274297,45.77932228
33,OAT21524C,436.6630837,181031,66.16107329,23.45585098,-27.47903502,0.083396903,111.8820058,NA,3.680329138,4.860894343,4.86,4.86,0,0.266511282,oat,24,C,215,3,1570.52,974.36,charred,37.95940198,20.97310212
32,OAT21524B,431.1938769,181031,62.49186622,22.45739947,-28.2975542,0.084154077,103.089739,NA,3.629920387,4.892823998,4.89,4.89,0,0.266395184,oat,24,B,215,3,1570.52,974.36,charred,37.95940198,20.08506234
31,OAT21524A,372.9122258,181031,57.37111166,22.71612751,-27.59081807,0.083496071,97.87718752,NA,3.219644326,5.4280695,5.43,5.43,0,0.264580206,oat,24,A,215,3,1570.52,974.36,charred,37.95940198,20.78893096
90,RYE21524A,320.0401077,185716.5,50.62846116,43.51105477,-24.99637328,0.070499562,77.91290738,NA,1.997766856,5.676192305,5.68,5.68,0,0.263823711,rye,24,A,215,3,1260.24,764.62,charred,39.3274297,40.07520881
91,RYE21524B,566.3455608,185716.5,85.72833681,34.11152601,-24.85490151,0.070114206,66.25968068,NA,2.198745043,4.812971693,5.84,5.84,1.02,0.298700657,rye,24,B,215,3,1260.24,764.62,charred,39.3274297,35.19174737
59,C4NB215-24B,426.096428,131022,60.87091829,,-27.6169133,0.051272099,63.68141505,130903,2.218864636,6.068406591,6.07,6.07,0,0.18079206,NB,24,B,215,3,2.32178,1.2505,charred,46.1404612,32.00558979
143,SPT21524C,379.6639856,181031,55.36014801,24.77276236,-27.38595842,0.083315601,82.45448456,NA,2.94480302,6.985503308,6.99,6.99,0,0.260742759,spelt,24,C,215,3,2710.15,1608.74,charred,40.64018597,21.93248204
142,SPT21524B,438.0369872,181031,61.69535031,23.19903337,-27.70859606,0.083602017,101.8170363,NA,3.71595023,7.741405322,7.74,7.74,0,0.259675355,spelt,24,B,215,3,2710.15,1608.74,charred,40.64018597,19.36998728
141,SPT21524A,421.1349768,181031,63.80832982,23.60552552,-27.54778183,0.083457732,100.8193156,NA,3.600689843,7.848070062,7.85,7.85,0,0.259567248,spelt,24,A,215,3,2710.15,1608.74,charred,40.64018597,20.67466366
58,C4NB215-24A,454.8585996,131022,65.92153617,,-27.5854678,0.051216059,66.08346015,130903,2.3187179,8.995705174,9,9,0,0.174830329,NB,24,A,215,3,2.32178,1.2505,charred,46.1404612,33.16852769
108,C5LEN230-4C,352.2272567,131016,55.03550886,,-26.32966221,0.047811714,86.18308288,130926,5.560198895,0.493606818,0.49,0.49,0,0.218447529,LE,4,C,230,4,1.59689,0.98698,charred,38.19361384,11.54780519
124,C5PEA230-4A,389.8084857,131026,56.49398343,,-27.87203496,0.080485143,84.52368525,130903,5.63491235,0.711768845,0.71,0.71,0,0.19546734,PE,4,A,230,4,5.67661,3.35292,charred,40.93446617,11.69665884
126,C5PEA230-4C,377.0387006,131021,58.00595394,,-28.1312258,0.054549914,84.07038968,130926,5.254399355,0.771586696,0.77,0.77,0,0.217935773,PE,4,C,230,4,5.67661,3.35292,charred,40.93446617,12.87941939
107,C5LEN230-4B,370.6047026,131016,54.50069156,,-25.91739727,0.047346653,93.59646185,130927,5.777559373,0.91088221,0.91,0.91,0,0.319083496,LE,4,B,230,4,1.59689,0.98698,charred,38.19361384,11.00536334
98,C5EM230-4B,369.515589,131021,59.59928855,,-25.60365364,0.05026171,82.98403917,130902,2.775385925,1.067398967,1.07,1.07,0,0.33121273,EM,4,B,230,4,2.27731,1.38325,charred,39.25947719,25.05327373
99,C5EM230-4C,318.8089285,131021,49.81389508,,-25.29893238,0.049804171,79.33790812,130902,2.803459651,1.075418519,1.08,1.08,0,0.331104116,EM,4,C,230,4,2.27731,1.38325,charred,39.25947719,20.73017563
106,C5LEN230-4A,386.4,131017,56.82352941,,-26.3728835,0.049533004,91.52446206,130926,5.866952696,1.078591277,1.08,1.08,0,0.217446892,LE,4,A,230,4,1.59689,0.98698,charred,38.19361384,11.29958278
97,C5EM230-4A,373.9840613,131025,59.36254941,,-25.3492746,0.071862914,82.7511861,130926,2.833944729,1.141946525,1.14,1.14,0,0.217356022,EM,4,A,230,4,2.27731,1.38325,charred,39.25947719,24.43812927
125,C5PEA230-4B,398.1048766,131025,57.69635893,,-27.6859139,0.076934924,83.84717363,130926,5.207898983,1.413934571,1.41,1.41,0,0.217005022,PE,4,B,230,4,5.67661,3.35292,charred,40.93446617,12.92506229
81,C5BW230-4C,382.7571892,131021,55.47205641,,-26.89667434,0.052350982,56.48960132,130819,1.947917287,1.530061429,1.53,1.53,0,0.324492294,BW,4,C,230,4,3.16556,1.95498,charred,38.24220675,33.22389486
89,C5EIN230-4B,403.86,131017,63.103125,,-27.21058423,0.050897879,81.84223829,130819,2.783749602,1.567534256,1.57,1.57,0,0.32420812,EI,4,B,230,4,1.75698,1.07113,charred,39.03573177,26.44645641
90,C5EIN230-4C,371.7445262,131021,59.00706765,,-27.26016148,0.052978805,93.62670547,130903,3.069728048,1.599740795,1.6,1.6,0,0.192731166,EI,4,C,230,4,1.75698,1.07113,charred,39.03573177,22.42595365
80,C5BW230-4B,347.1717244,131016,57.86195407,,-26.96919404,0.048630793,54.83839403,130927,1.878027193,1.676370501,1.68,1.68,0,0.315146345,BW,4,B,230,4,3.16556,1.95498,charred,38.24220675,35.9449604
79,C5BW230-4A,386.39,131017,61.33174603,,-26.96835752,0.050491009,74.88329528,130930,2.463266292,1.75563042,1.76,1.76,0,0.323904935,BW,4,A,230,4,3.16556,1.95498,charred,38.24220675,29.04830222
88,C5EIN230-4A,353.79,131017,58.965,,-27.41243983,0.051244269,90.48351616,130930,2.986254659,2.101345816,2.1,2.1,0,0.321081015,EI,4,A,230,4,1.75698,1.07113,charred,39.03573177,23.03638097
44,OAT2304B,500.8279214,181129,63.39593942,22.38885541,-27.66526646,0.087067341,94.39240235,NA,4.055573785,3.196516649,3.75,3.64,0.55,0.379160086,oat,4,B,230,4,1561.33,984.12,charred,36.96912248,17.83456861
115,C5NB230-4A,379.6211381,131022,58.40325202,,-27.85017483,0.051694022,59.29232105,130927,2.03055894,3.993264571,3.99,3.99,0,0.304105718,NB,4,A,230,4,1.73741,1.023,charred,41.11925222,33.5558481
103,RYE2304B,430.5936599,181129,51.8787542,42.96011177,-25.7642876,0.079718614,95.11109347,NA,3.237560561,3.576295273,4.04,4.04,0.46,0.363318667,rye,4,B,230,4,1199.55,777.88,charred,35.1523488,15.18214001
117,C5NB230-4C,351.1132249,131025,57.55954507,,-28.07041464,0.077920327,60.55954501,130927,1.998664852,4.14983157,4.15,4.15,0,0.303409567,NB,4,C,230,4,1.73741,1.023,charred,41.11925222,33.598831
104,RYE2304E,448.9308609,181129,56.80593376,46.55843393,-25.27898158,0.077957306,104.0536862,NA,2.2946921,4.205826822,4.33,4.21,0.13,0.384165838,rye,4,E,230,4,1199.55,777.88,charred,35.1523488,35.93940151
