,ID,,,RunfileC,pcC,normd13C,d13Csd,RunfileN,pcN,normd15Nav,normd15N,d15Nsd,d15n28th,,normd15N1,Species,time,rep,temp,CharrNo,Freshwt,Charwt,char,pcwtloss,newCN,,,,
88,C5EIN230-4A,#N/A,,131017,58.965,-27.41243983,0.051244269,130930,2.986254659,2.101345816,2.101345816,0.321081015,2.1,TRUE,2.1,EI,4,A,230,4,1.75698,1.07113,charred,39.03573177,23.03638097,,,,
92,C5EIN230-8B,#N/A,,131017,60.69206349,-27.0793781,0.050676286,130927,2.940940897,1.375875354,1.375875354,0.316675454,1.38,TRUE,1.38,EI,8,B,230,5,1.75721,1.0048,charred,42.81844515,24.07644692,,,,
93,C5EIN230-8C,#N/A,,131022,61.27827772,-27.29436122,0.05070692,130927,3.045652923,1.412966031,1.412966031,0.316485555,1.41,TRUE,1.41,EI,8,C,230,5,1.75721,1.0048,charred,42.81844515,23.47323409,,,,
91,C5EIN230-8A,#N/A,,131017,61.12985075,-27.44271817,0.051296793,130930,3.226113222,2.236198185,2.236198185,0.319992347,2.24,TRUE,2.24,EI,8,A,230,5,1.75721,1.0048,charred,42.81844515,22.10652705,,,,
86,C5EIN230-24B,#N/A,,131017,65.05507246,-27.15002755,0.050795254,130930,3.113766053,1.268224562,1.268224562,0.327964806,1.27,TRUE,1.27,EI,24,B,230,6,1.80015,0.97472,charred,45.85340111,24.37485131,,,,
87,C5EIN230-24C,#N/A,,131022,64.76781248,-27.16513764,0.050486579,130903,3.31833306,1.728151467,1.728151467,0.192344818,1.73,TRUE,1.73,EI,24,C,230,6,1.80015,0.97472,charred,45.85340111,22.77120667,,,,
85,C5EIN230-24A,#N/A,,131021,73.63116441,-26.80518296,0.052195648,130819,3.242298887,2.364788366,2.364788366,0.318488287,2.36,TRUE,2.36,EI,24,A,230,6,1.80015,0.97472,charred,45.85340111,26.49448066,,,,
143,C6EIN245-4B,#N/A,,131023,65.18688044,-27.37661704,0.085522209,130930,3.074515144,1.094490365,1.094490365,0.329433595,1.09,TRUE,1.09,EI,4,B,245,7,1.7547,0.96856,charred,44.80196045,24.73605006,,,,
144,C6EIN245-4C,#N/A,,131017,65.85737705,-26.94817196,0.050457543,130930,3.252966123,1.296550174,1.296550174,0.327726401,1.3,TRUE,1.3,EI,4,C,245,7,1.7547,0.96856,charred,44.80196045,23.61955325,,,,
142,C6EIN245-4A,#N/A,,131022,61.56485972,-27.46211831,0.050998186,130927,3.212861695,2.293945911,2.293945911,0.312071912,2.29,TRUE,2.29,EI,4,A,245,7,1.7547,0.96856,charred,44.80196045,22.35566809,,,,
146,C6EIN245-8B,#N/A,,131025,61.78862594,-27.22782268,0.075813333,130902,3.152165533,1.091060832,1.091060832,0.330892297,1.09,TRUE,1.09,EI,8,B,245,8,1.77484,0.94561,charred,46.7213946,22.86895454,,,,
145,C6EIN245-8A,#N/A,,131025,59.88594285,-27.27981596,0.075937692,130903,3.33727803,1.943876257,1.943876257,0.191701183,1.94,TRUE,1.94,EI,8,A,245,8,1.77484,0.94561,charred,46.7213946,20.93530497,,,,
147,C6EIN245-8C,#N/A,,131023,64.80573637,-27.14169983,0.085097601,130926,3.302033622,2.211746991,2.211746991,0.216343596,2.21,TRUE,2.21,EI,8,C,245,8,1.77484,0.94561,charred,46.7213946,22.89700866,,,,
140,C6EIN245-24B,#N/A,,131016,58.9562225,-27.45956195,0.049336028,130902,3.317129691,0.857059163,0.857059163,0.334065548,0.86,TRUE,0.86,EI,24,B,245,9,1.777018,0.88503,charred,50.19577742,20.73547494,,,,
141,C6EIN245-24C,#N/A,,131025,61.68095301,-27.25339911,0.075874412,130930,3.529668746,1.208662458,1.208662458,0.328467093,1.21,TRUE,1.21,EI,24,C,245,9,1.777018,0.88503,charred,50.19577742,20.38749725,,,,
139,C6EIN245-24A,#N/A,,131016,62.47222289,-27.15495607,0.04889025,130819,3.543963144,2.194115938,2.194115938,0.31965957,2.19,TRUE,2.19,EI,24,A,245,9,1.777018,0.88503,charred,50.19577742,20.56575,,,,
198,C7EIN260-4C,#N/A,,131021,62.65253123,-27.226952,0.052920745,131027,2.869546803,0.897645294,0.897645294,0.412865248,0.9,TRUE,0.9,EI,4,C,260,10,1.78012,0.91968,charred,48.33606723,25.47253096,,,,
197,C7EIN260-4B,#N/A,,131021,63.98482449,-27.08150349,0.052668106,130902,3.635812316,1.293479586,1.293479586,0.328155237,1.29,TRUE,1.29,EI,4,B,260,10,1.78012,0.91968,charred,48.33606723,20.53157738,,,,
196,C7EIN260-4A,#N/A,,131021,63.5426399,-27.14400011,0.052776331,130903,3.396855751,1.693647632,1.693647632,0.192448394,1.69,TRUE,1.69,EI,4,A,260,10,1.78012,0.91968,charred,48.33606723,21.82402943,,,,
