,ID,X.x,Cugdc,RunfileC,pcC,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15N,d15Nsd,,Species,time,rep,temp,CharrNo,Freshwt,Charwt,char,pcwtloss,newCN
273,LEN0-0C,17,451.5896406,131025,42.60279628,-26.27026328,0.073663751,99.58275373,130930,3.889951318,-0.069968306,0.339558612,0,LE,0,C,0,13,1.54484,1.54484,fresh,0,12.77734817
260,EIN0-0B,45,428.7785783,131025,41.62898818,-26.90432739,0.075056927,102.7708765,130930,2.02304875,1.465409629,0.326311448,0,EI,0,B,0,13,1.95321,1.95321,fresh,0,24.00691179
259,EIN0-0A,18,445.4994763,131026,40.87151159,-27.02910338,0.077565247,103.6841987,130930,2.021134478,1.0034381,0.330207832,0,EI,0,A,0,13,1.95321,1.95321,fresh,0,23.59240848
271,LEN0-0A,21,412.3615197,131026,41.23615197,-26.50358981,0.075818606,105.8817528,130930,4.088098564,-0.011797374,0.339041612,0,LE,0,A,0,13,1.54484,1.54484,fresh,0,11.76802448
262,EM0-0A,29,441.5024587,131025,40.13658715,-25.93681885,0.072980454,106.8647457,130930,1.971674275,0.902606693,0.331068768,0,EM,0,A,0,13,2.8696,2.8696,fresh,0,23.74936821
272,LEN0-0B,60,461.7986177,131026,41.23201944,-26.12858281,0.07460953,111.2696677,130930,4.060936777,0.336383131,0.335971263,0,LE,0,B,0,13,1.54484,1.54484,fresh,0,11.84554828
4,BAR0D,4,448.6465441,190402,40.41860758,-26.52731443,0.064121197,NA,NA,1.564693284,0.319076541,0.445242332,-0.772209602,Barley,0,D,0,16,NA,NA,fresh,0,NA
5,BAR0E,5,437.4949806,190402,39.41396222,-26.5505717,0.064194332,NA,NA,1.580409606,0.135173975,0.448678823,-0.779316948,Barley,0,E,0,16,NA,NA,fresh,0,NA
6,BAR0F,6,389.9048136,190402,35.12655978,-26.59748446,0.064342011,NA,NA,1.528269432,0.594620803,0.440174612,-0.761560549,Barley,0,F,0,16,NA,NA,fresh,0,NA
141,SPT2154B,141,337.8465449,181031,50.42485745,-26.93169807,0.082930972,62.54067479,NA,2.120022874,5.776991407,0.269087761,-0.561275695,spelt,4,B,215,1,2780.5,2242.28,charred,19.35695019,27.74922906
140,SPT2154A,140,284.9288998,181031,43.17104542,-27.77070411,0.083658486,68.41384902,NA,2.257882806,6.714245089,0.267445491,-0.52505333,spelt,4,A,215,1,2780.5,2242.28,charred,19.35695019,22.3068352
142,SPT2154C,142,306.0971373,181031,45.6861399,-27.35416014,0.083287723,69.51958111,NA,2.364611602,6.75497335,0.267390771,-0.523479291,spelt,4,C,215,1,2780.5,2242.28,charred,19.35695019,22.54090967
33,OAT2154C,33,320.9135601,181031,50.14274377,-27.2829509,0.083226222,88.43362719,NA,2.909000894,3.929888323,0.27442637,-0.63266132,oat,4,C,215,1,1714.4,1362.34,charred,20.5354643,20.10995178
31,OAT2154A,31,332.7887678,181031,46.87165744,-27.68520246,0.083580854,105.1788685,NA,3.426021775,4.617403849,0.272119842,-0.606090673,oat,4,A,215,1,1714.4,1362.34,charred,20.5354643,15.961253
32,OAT2154B,32,343.1420211,181031,51.21522703,-27.2292339,0.083180195,107.1711582,NA,3.490917205,4.372947428,0.272897244,-0.615538263,oat,4,B,215,1,1714.4,1362.34,charred,20.5354643,17.11616022
45,C4EM215-4C,49,317.1412943,131025,47.33452154,-25.35691512,0.071876722,61.16217038,130927,2.109040358,0.898905891,0.31914618,0,EM,4,C,215,1,1.91116,1.46082,charred,23.56369953,26.18423505
43,C4EM215-4A,35,290.553421,131025,48.42557017,-25.22929001,0.07164864,70.59616296,130819,2.277295579,1.661016806,0.323505101,0,EM,4,A,215,1,1.91116,1.46082,charred,23.56369953,24.80859272
44,C4EM215-4B,69,321.0136383,131025,48.63843005,-25.62887358,0.072380731,70.74428003,130819,2.238743039,1.138986146,0.327537831,0,EM,4,B,215,1,1.91116,1.46082,charred,23.56369953,25.3467388
88,RYE2154B,88,285.6917835,181031,43.95258208,-25.77702964,0.082056943,27.24831663,NA,1.342281607,1.536863308,0.360854399,-0.725145379,rye,4,B,215,1,1309.28,994.88,charred,24.01319809,38.20212699
89,RYE2154C,89,296.1654239,181031,42.30934627,-25.62407343,0.081952439,22.85128183,NA,1.114696675,1.193563759,0.364767262,-0.738412995,rye,4,C,215,1,1309.28,994.88,charred,24.01319809,44.28191553
90,RYE2154E,90,304.5581179,181031,47.38589472,-25.78553174,0.082062899,27.16459579,NA,1.305990182,0.921522964,0.367935503,-0.748926648,rye,4,E,215,1,1309.28,994.88,charred,24.01319809,42.33074995
34,C4EIN215-4A,60,347.1886779,131021,49.59838256,-27.56686083,0.053521508,66.58222862,130819,2.34444467,1.071355883,0.328079111,0,EI,4,A,215,1,1.77232,1.3387,charred,24.46623635,24.68165719
36,C4EIN215-4C,43,329.31,131017,51.4546875,-27.46290373,0.051331891,70.83033535,130819,2.467955936,1.682283113,0.323346353,0,EI,4,C,215,1,1.77232,1.3387,charred,24.46623635,24.32396295
35,C4EIN215-4B,25,326.87,131017,54.47833333,-27.31151203,0.051070251,70.88315944,130927,2.347124485,0.675836521,0.320319756,0,EI,4,B,215,1,1.77232,1.3387,charred,24.46623635,27.07911573
54,C4LEN215-4C,26,303.3240861,131021,49.72526002,-26.02692162,0.050919884,78.24706563,130927,4.890441602,0.222999891,0.322736888,0,LE,4,C,215,1,1.39993,1.04942,charred,25.03768046,11.8624877
53,C4LEN215-4B,34,312.68,131017,48.85625,-26.16093512,0.049207001,78.6549982,130927,4.885403615,0.231931108,0.32268877,0,LE,4,B,215,1,1.39993,1.04942,charred,25.03768046,11.66719535
52,C4LEN215-4A,52,321.3114607,131016,50.20491573,-26.32424465,0.047805277,81.36200623,130926,4.871976421,0.598543406,0.218246657,0,LE,4,A,215,1,1.39993,1.04942,charred,25.03768046,12.02230812
239,C8HBH215-4B,51,293.8007504,131120,47.38721781,-26.91415656,0.072489435,56.06837747,131121,1.96731149,0.462525452,0.298492126,0,HBH,4,B,215,H1,2.49,1.86,charred,25.30120482,28.10184748
238,C8HBH215-4A,59,314.8321343,131130,50.7793765,-26.05318914,0.054717343,56.78762835,131128,1.886632171,0.683878487,0.177476511,0,HBH,4,A,215,H1,2.49,1.86,charred,25.30120482,31.40124865
240,C8HBH215-4C,40,354.2609515,131130,50.60870736,-26.53013991,0.055456108,57.59349339,131128,1.805438664,1.077267166,0.176698937,0,HBH,4,C,215,H1,2.49,1.86,charred,25.30120482,32.7031281
25,C4BW215-4A,24,314.9262626,131025,47.00391979,-27.1269706,0.075574297,48.18741589,130926,1.633471725,2.414820414,0.216263344,0,BW,4,A,215,1,2.96379,2.21225,charred,25.35739712,33.57138393
26,C4BW215-4B,37,304.6491915,131021,44.80135169,-27.10278929,0.05270491,46.95612179,130819,1.570438856,1.654938613,0.323550554,0,BW,4,B,215,1,2.96379,2.21225,charred,25.35739712,33.28257158
27,C4BW215-4C,67,289.65,131017,46.71774194,-27.28123369,0.051018366,50.24255779,130927,1.75061177,1.50883279,0.315996237,0,BW,4,C,215,1,2.96379,2.21225,charred,25.35739712,31.13427729
