,ID,ID,ID,RunfileC,pcC,normd13C,d13Csd,RunfileN,pcN,normd15N,d15Nsd,,RunfileC,pcC,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15N,d15Nsd
71,OAT2454ADA,OAT2454ADA,OAT2454ADA,NA,NA,NA,NA,190228,6.165752187,3.700127962,0.334947557,,,,,,,,,,
72,OAT2454ADB,OAT2454ADB,OAT2454ADB,NA,NA,NA,NA,190228,5.118331474,3.512415409,0.336866749,,,,,,,,,,
73,OAT2454B,OAT2454B,OAT2454B,181206,63.33275936,-27.53895245,0.078690977,190208,3.688024976,3.281966221,0.293695381,3.062699136,2.953065594,,,,,,,,
74,OAT2454BDA,OAT2454BDA,OAT2454BDA,NA,NA,NA,NA,190228,5.822973188,3.050105317,0.341741969,,,,,,,,,,
75,OAT2454BDB,OAT2454BDB,OAT2454BDB,NA,NA,NA,NA,190228,5.56057202,2.85602587,0.343849931,,,,,,,,,,
76,OAT2454C,OAT2454C,OAT2454C,181206,58.5847873,-27.76946986,0.079436074,190208,3.690589322,3.63653938,0.291655459,3.422953099,3.316159959,,,,,,,,
77,OAT2454CDA,OAT2454CDA,OAT2454CDA,NA,NA,NA,NA,190228,3.98289185,3.345133583,0.33860667,,,,,,,,,,
78,OAT2454CDB,OAT2454CDB,OAT2454CDB,NA,NA,NA,NA,190228,3.190318563,3.287186335,0.339215814,,,,,,,,,,
79,OAT2458A,OAT2458A,OAT2458A,181206,65.59836561,-27.16819695,0.077508199,190208,4.696632643,4.164634136,0.289002073,,,,,,,,,,
80,OAT2458B,OAT2458B,OAT2458B,181206,61.15719064,-27.05199751,0.077141581,190208,4.006063191,3.970057642,0.289925468,,,,,,,,,,
81,OAT2458C,OAT2458C,OAT2458C,181206,65.46910806,-27.65928496,0.079079016,190208,3.217712875,3.860683313,0.290472418,,,,,,,,,,
82,OAT26024A,OAT26024A,OAT26024A,181213,70.74718676,-27.93118843,0.102143646,190214,4.270159418,3.700226567,0.37788723,,,,,,,,,,
83,OAT26024B,OAT26024B,OAT26024B,181213,69.48930229,-27.07430341,0.100254205,190214,4.556978367,4.854904549,0.365624506,,,,,,,,,,
84,OAT26024CDA,OAT26024CDA,OAT26024CDA,181213,73.5502411,-27.30200806,0.100742178,190214,4.270744586,4.686521978,0.367265406,4.259614926,4.519058928,0.368973485,,,,,,,
85,OAT26024CDB,OAT26024CDB,OAT26024CDB,181213,51.95640519,-27.40036091,0.100956146,190214,4.248485266,4.351595877,0.370681564,,,,,,,,,,
86,OAT2604A,OAT2604A,OAT2604A,181213,73.88042013,-27.30035912,0.100738607,190214,4.794999312,4.877141231,0.365411691,,,,,,,,,,
87,OAT2604B,OAT2604B,OAT2604B,181213,69.55228563,-27.63139453,0.101466257,190214,4.104543202,4.029582527,0.374152782,,,,,,,,,,
88,OAT2604C,OAT2604C,OAT2604C,181213,59.12008056,-27.51580267,0.101209728,190214,4.159230469,3.662023348,0.378332205,,,,,,,,,,
89,OAT2608A,OAT2608A,OAT2608A,181213,64.26590263,-27.40749407,0.100971739,190214,4.724007184,4.678123475,0.367348604,,,,,,,,,,
90,OAT2608B,OAT2608B,OAT2608B,181213,64.86418189,-27.3343309,0.100812285,190214,5.127098258,4.299862799,0.371227023,,,,,,,,,,
91,OAT2608C,OAT2608C,OAT2608C,181213,73.40156882,-26.8501743,0.099784106,190214,5.286981856,4.835120115,0.365814616,,,,,,,,,,
92,OAT30024A,OAT30024A,OAT30024A,181219,54.36495598,-27.0213508,0.073486554,190222,4.347222949,5.122610057,0.248055323,,,,,,,,,,
93,OAT30024B,OAT30024B,OAT30024B,181219,68.57848245,-27.0918358,0.073669217,190222,4.374610671,3.837607186,0.256553659,,,,,,,,,,
94,OAT30024CDA,OAT30024CDA,OAT30024CDA,181219,58.58290041,-27.66144896,0.075182503,190222,4.413670479,4.800003459,0.249995522,,,,,,,,,,
95,OAT30024CDB,OAT30024CDB,OAT30024CDB,181219,71.69767938,-27.59416953,0.075000391,190222,4.703741242,5.030636008,0.248594855,,,,,,,,,,
96,OAT3004A,OAT3004A,OAT3004A,181219,71.38764633,-27.53520028,0.074841504,190222,5.41312559,3.718023572,0.257446156,,,,,,,,,,
97,OAT3004B,OAT3004B,OAT3004B,181219,83.64808751,-26.72777031,0.072736981,190222,5.679515131,4.107681757,0.254599902,,,,,,,,,,
98,OAT3004C,OAT3004C,OAT3004C,181219,72.33536668,-27.17922006,0.073897104,190222,5.613829756,4.107470397,0.254601397,,,,,,,,,,
99,OAT3008A,OAT3008A,OAT3008A,181219,65.62222985,-27.17232781,0.073879073,190222,5.314440244,4.492302244,0.251968904,,,,,,,,,,
100,OAT3008B,OAT3008B,OAT3008B,181219,67.59692991,-27.45669418,0.074631044,190222,4.864666332,3.816201701,0.25671219,,,,,,,,,,
101,OAT3008C,OAT3008C,OAT3008C,181219,67.90371671,-26.55818472,0.072312413,190222,4.647038027,4.358520187,0.252863575,,,,,,,,,,
102,RC2017RYE24524A,RC2017RYE24524A,RC2017RYE24524A,190308,68.01464789,-26.90635973,0.0747933,NA,NA,NA,NA,,,,,,,,,,
103,RC2017RYE24524B,RC2017RYE24524B,RC2017RYE24524B,190308,56.19539665,-27.51340851,0.075838301,NA,NA,NA,NA,,,,,,,,,,
104,RC2017RYE24524C,RC2017RYE24524C,RC2017RYE24524C,190308,61.67679062,-26.94620696,0.074856042,NA,NA,NA,NA,,,,,,,,,,
105,RC2018RYE24524A,RC2018RYE24524A,RC2018RYE24524A,190308,62.50462373,-25.60483189,0.07321347,190405,2.223303669,3.36579837,0.392488562,,,,,,,,,,
106,RC2018RYE24524B,RC2018RYE24524B,RC2018RYE24524B,190308,65.15097768,-25.50083525,0.073127482,NA,NA,NA,NA,,,,,,,,,,
107,RC2018RYE24524CDA,RC2018RYE24524CDA,RC2018RYE24524CDA,190308,66.67076329,-26.0140118,0.073610363,NA,NA,NA,NA,,,,,,,,,,
108,RC2018RYE24524CDB,RC2018RYE24524CDB,RC2018RYE24524CDB,190308,71.30808449,-26.14179241,0.073753283,NA,NA,NA,NA,,,,,,,,,,
109,RC2018RYE24525B,RC2018RYE24525B,RC2018RYE24525B,NA,NA,NA,NA,190405,2.419381303,3.814839486,0.385833124,,,,,,,,,,
110,RC2018RYE24526CDA,RC2018RYE24526CDA,RC2018RYE24526CDA,NA,NA,NA,NA,190405,2.19715341,3.477192033,0.3908034,,,,,,,,,,
111,RC2018RYE24526CDB,RC2018RYE24526CDB,RC2018RYE24526CDB,NA,NA,NA,NA,190405,2.158024711,3.787840068,0.386222827,,,,,,,,,,
112,RCSPARERYE24524A,RCSPARERYE24524A,RCSPARERYE24524A,190308,68.35645887,-25.12486514,0.072867464,190322,2.764362977,4.705266819,0.383676807,,,,,,,,,,
113,RCSPARERYE24524B,RCSPARERYE24524B,RCSPARERYE24524B,190308,63.31922829,-25.49496423,0.073122809,190322,3.080853049,4.567550644,0.38540673,,,,,,,,,,
114,RCSPARERYE24524C,RCSPARERYE24524C,RCSPARERYE24524C,190308,57.24574527,-25.65776175,0.073259561,190322,2.635236414,3.842234765,0.39498585,,,,,,,,,,
