,ID,Cugdc,RunfileC,pcC,CN_Crun,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15Nav,normd15N28thoct,normd15N,...15,d15Nsd,Species,time,rep,temp,CharrNo,Freshwt,Charwt,char,pcwtloss,newCN,TT2
58,RYE2458,493.9385434,181206,62.25853439,42.64251359,-25.27757225,0.071825382,75.72101,NA,2.41838911,3.569796225,NA,NA,NA,0.364667513,Rye,8,NA,245,NA,NA,NA,NA,48.87096313,NA,NA
59,RYE26024,522.0206405,181213,65.45286259,33.27912115,-25.48683102,0.097156675,50.40581362,NA,2.415663158,3.901643475,NA,NA,NA,0.440925287,Rye,24,NA,260,NA,NA,NA,NA,58.40770853,NA,NA
60,RYE2604,465.8596757,181213,61.48430741,34.75037213,-25.40939814,0.09702412,54.39207131,NA,2.348609429,3.423625254,NA,NA,NA,0.380322026,Rye,4,NA,260,NA,NA,NA,NA,50.00908308,NA,NA
61,RYE2608,505.3072063,181213,64.00705345,36.11905906,-25.29862324,0.096821194,61.12688781,NA,2.89389645,3.978137622,NA,NA,NA,0.374936118,Rye,8,NA,260,NA,NA,NA,NA,53.06750317,NA,NA
62,RYE30024,563.8507012,181219,70.45135236,32.83113968,-25.28237128,0.06933128,86.45419253,NA,4.061350642,3.557538449,NA,NA,NA,0.363720245,Rye,24,NA,300,NA,NA,NA,NA,68.04999374,NA,NA
63,RYE3004,539.267609,181219,68.27861861,37.65611939,-25.35644338,0.069494042,53.04219435,NA,2.615520861,3.357237139,NA,NA,NA,0.365100622,Rye,4,NA,300,NA,NA,NA,NA,59.58146657,NA,NA
64,RYE3008,564.6073616,181219,68.84420275,37.688844,-25.36849723,0.069520917,55.42735423,NA,2.666549275,3.288600605,NA,NA,NA,0.260793447,Rye,8,NA,300,NA,NA,NA,NA,61.79419778,NA,NA
65,SPT0,427.7123705,190117,42.73850414,25.16352709,-27.20531765,0.279206872,80.43341201,NA,1.998955811,5.745383475,NA,NA,NA,0.555432138,Spelt,0,NA,0,NA,NA,NA,NA,0,NA,NA
66,SPT21524,412.9453165,181031,60.28794271,23.85910708,-27.54744544,0.08345845,95.03027882,NA,3.420481031,7.524992897,NA,NA,NA,0.259995121,Spelt,24,NA,215,NA,NA,NA,NA,40.64018597,NA,NA
67,SPT2154,309.624194,181031,46.42734759,25.35504261,-27.35218744,0.083292394,66.82470164,NA,2.247505761,6.952006054,NA,NA,NA,0.260888307,Spelt,4,NA,215,NA,NA,NA,NA,19.35695019,NA,NA
68,SPT2158,385.1056975,181031,59.4749702,24.35199721,-27.24075562,0.083192329,73.59517748,NA,2.541316704,6.971033337,NA,NA,NA,0.260908509,Spelt,8,NA,215,NA,NA,NA,NA,30.05740312,NA,NA
69,SPT23024,462.6704042,181129,60.31371302,21.89976462,-27.05159181,0.084625398,117.7772989,NA,4.485938072,6.94820574,NA,NA,NA,0.373752624,Spelt,24,NA,230,NA,NA,NA,NA,48.41658633,NA,NA
