,ID,ID,ID,Cugdc,RunfileC,pcC,CN_Crun,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15N,d15Nsd,,,
76,OAT2454A,OAT2454A,OAT2454A,559.3487807,181206,65.80573891,23.38747488,-28.13512859,0.080632655,84.65934437,190208,3.633448256,3.924511462,0.290150802,,,
77,OAT2454ADA,OAT2454ADA,OAT2454ADA,NA,NA,NA,NA,NA,NA,144.8951764,190228,6.165752187,3.700127962,0.334947557,,,
78,OAT2454ADB,OAT2454ADB,OAT2454ADB,NA,NA,NA,NA,NA,NA,118.7452902,190228,5.118331474,3.512415409,0.336866749,,,
79,OAT2454B,OAT2454B,OAT2454B,538.3284546,181206,63.33275936,24.62241339,-27.53895245,0.078690977,88.51259942,190208,3.688024976,3.281966221,0.293695381,3.062699136,,
80,OAT2454BDA,OAT2454BDA,OAT2454BDA,NA,NA,NA,NA,NA,NA,142.6628431,190228,5.822973188,3.050105317,0.341741969,,,
81,OAT2454BDB,OAT2454BDB,OAT2454BDB,NA,NA,NA,NA,NA,NA,136.2340145,190228,5.56057202,2.85602587,0.343849931,,,
82,OAT2454C,OAT2454C,OAT2454C,486.2537346,181206,58.5847873,27.30323307,-27.76946986,0.079436074,88.20508479,190208,3.690589322,3.63653938,0.291655459,,,
83,OAT2454CDA,OAT2454CDA,OAT2454CDA,NA,NA,NA,NA,NA,NA,99.57229625,190228,3.98289185,3.345133583,0.33860667,,,
84,OAT2454CDB,OAT2454CDB,OAT2454CDB,NA,NA,NA,NA,NA,NA,77.84377294,190228,3.190318563,3.287186335,0.339215814,,,
85,OAT2458A,OAT2458A,OAT2458A,485.4279055,181206,65.59836561,21.06914541,-27.16819695,0.077508199,108.0225508,190208,4.696632643,4.164634136,0.289002073,,,
86,OAT2458B,OAT2458B,OAT2458B,513.7204014,181206,61.15719064,23.7727922,-27.05199751,0.077141581,92.1394534,190208,4.006063191,3.970057642,0.289925468,,,
87,OAT2458C,OAT2458C,OAT2458C,549.9405077,181206,65.46910806,24.77683004,-27.65928496,0.079079016,75.61625256,190208,3.217712875,3.860683313,0.290472418,,,
